drug,target_gene,target_source,evidence_level,molecule_chembl_id,target_chembl_id,mechanism_of_action
4'-Epiadriamycin,TOP2A,manual,canonical_anthracycline_alias,CHEMBL417,,Topoisomerase II inhibitor
4'-Epiadriamycin,TOP2B,manual,canonical_anthracycline_alias,CHEMBL417,,Topoisomerase II inhibitor
5-Fluorouracil,TYMS,ChEMBL,mechanism,CHEMBL185,CHEMBL1952,Thymidylate synthase inhibitor
Afatinib,EGFR,ChEMBL,mechanism,CHEMBL2105712,CHEMBL203,Epidermal growth factor receptor erbB1 inhibitor
Afatinib,ERBB2,ChEMBL,mechanism,CHEMBL2105712,CHEMBL1824,Receptor protein-tyrosine kinase erbB-2 inhibitor
Afatinib,ERBB4,ChEMBL,mechanism,CHEMBL2105712,CHEMBL3009,Receptor protein-tyrosine kinase erbB-4 inhibitor
alisertib,AURKA,ChEMBL,mechanism,CHEMBL483158,CHEMBL4722,Serine/threonine-protein kinase Aurora-A inhibitor
Axitinib,FLT1,ChEMBL,mechanism,CHEMBL1289926,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor
Axitinib,FLT4,ChEMBL,mechanism,CHEMBL1289926,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor
Axitinib,KDR,ChEMBL,mechanism,CHEMBL1289926,CHEMBL2095227,Vascular endothelial growth factor receptor inhibitor
Azacitidine,DNMT3A,ChEMBL,mechanism,CHEMBL1489,CHEMBL1992,DNA (cytosine-5)-methyltransferase 3A inhibitor
Azacitidine,DNMT1,ChEMBL,mechanism,CHEMBL1489,CHEMBL1993,DNA (cytosine-5)-methyltransferase 1 inhibitor
AZD7762,CHEK1,ChEMBL,mechanism,CHEMBL2041933,CHEMBL4630,Serine/threonine-protein kinase Chk1 inhibitor
Belinostat,HDAC1,ChEMBL,mechanism,CHEMBL408513,CHEMBL2093865,Histone deacetylase inhibitor
Belinostat,HDAC3,ChEMBL,mechanism,CHEMBL408513,CHEMBL2093865,Histone deacetylase inhibitor
